engagement_probability,threeXthree,twoXtwo
0.091023691,0,0
0.098323777,0,0
0.477901131,0,0
0.105463445,0,0
0.04159987,0,0
0.509692967,0,0
0.048117027,0,0
0.372241706,1,1
0.069693699,0,0
0.169139907,0,0
0.092838019,0,0
0.139281303,0,0
0.075956807,0,0
0.582638681,0,0
0.097092807,0,0
0.034898002,0,0
0.03029565,0,0
0.077780783,0,1
0.076681674,0,0
0.385877877,0,0
0.393844634,1,1
0.101310208,0,0
0.097320661,0,0
0.091224127,0,0
0.036195833,0,0
0.156150654,0,0
0.026759798,0,0
0.544579566,1,1
0.029191175,0,0
0.559223831,0,0
0.07110972,0,0
0.597058356,0,0
0.476869076,0,0
0.036200326,0,0
0.087943859,0,1
0.454253048,0,0
0.393693626,0,0
0.383160353,0,0
0.119487971,0,0
0.491649806,1,1
0.0882532,0,0
0.503512084,0,0
0.032530479,0,0
0.415556252,0,0
0.375238895,0,0
0.461525559,0,0
0.029166922,0,0
0.114548728,0,0
0.083738863,0,0
0.034999788,0,0
0.505262733,1,1
0.461412519,0,0
0.033739567,0,0
0.098167136,0,0
0.098745465,0,0
0.48514995,0,0
0.425399065,1,1
0.477573454,0,0
0.068172261,0,0
0.042140316,0,0
0.587038636,1,1
0.132639423,0,1
0.040450618,0,0
0.0688674,0,0
0.039959088,0,0
0.435494632,0,0
0.084774606,0,0
0.092315979,0,0
0.139697075,0,0
0.087102696,0,0
0.415121138,0,0
0.464139968,1,1
0.419818908,1,1
0.500977814,0,1
0.029036032,0,0
0.540071428,1,1
0.435985923,0,0
0.082400165,0,0
0.537003279,1,1
0.03029565,0,0
0.035544828,0,0
0.060722396,0,0
0.051219877,0,0
0.112363927,0,0
0.04202988,0,0
0.432806879,1,1
0.41561982,1,1
0.121153243,0,0
0.500473917,0,0
0.476608962,0,1
0.0429716,0,0
0.127794728,0,0
0.423530519,0,0
0.440328091,0,0
0.100190714,0,0
0.092857361,0,0
0.032213174,0,0
0.091096424,0,0
0.029630341,0,0
0.509295106,0,0
0.308787316,1,1
0.070491537,0,0
0.509901285,1,1
0.151445985,0,0
0.077938437,0,0
0.348127484,0,0
0.141549453,0,0
0.506838083,0,0
0.078173682,0,0
0.070088342,0,0
0.45203644,1,1
0.024788924,0,0
0.029139049,0,0
0.061746437,0,0
0.083410941,0,0
0.051848955,0,0
0.035230033,0,0
0.067389004,0,0
0.577968478,1,1
0.044670247,0,0
0.092586473,0,0
0.435551912,1,1
0.092751518,0,0
0.032873008,0,0
0.392761856,1,1
0.084145091,0,0
0.338072389,0,0
0.393524647,0,0
0.569793403,1,1
0.031549092,0,0
0.041523386,0,0
0.034065973,0,0
0.378804833,1,1
0.158380464,0,0
0.108382933,0,0
0.139452592,0,0
0.113251448,0,0
0.401669651,0,1
0.198553786,0,0
0.328750193,0,0
0.060101073,0,0
0.099839292,0,0
0.471185207,1,1
0.540515721,0,0
0.101301335,0,0
0.118321002,0,0
0.479043484,0,0
0.033761989,0,0
0.051518116,0,0
0.096518144,0,0
0.472314209,0,0
0.05025994,0,0
0.122740433,0,0
0.122194283,0,0
0.029235199,0,0
0.088368326,0,0
0.635680795,0,0
0.039382659,0,0
0.075535618,0,0
0.507838547,1,1
0.081166185,0,0
0.04960322,0,0
0.084126659,0,0
0.037185404,0,0
0.043263894,0,0
0.570057452,0,0
0.052511193,0,0
0.073944174,0,0
0.045323208,0,0
0.559271991,0,0
